order	status	source_lines	sha256	path	title
50	current	535-539	8dd8e7499f38a6a74517cdc6fa81bdb3d4afb4b625d3ed22011d147ebeddb7c2	Companion/Memory/Current/050-compose-body-caret-aware-scroll-no-input-gating.md	Compose body — caret-aware scroll, NO input gating
51	current	540-547	3e71169a754e80d0f596a99debf96154e3be97bf0891ab5efdeb128e21c8060b	Companion/Memory/Current/051-compose-attachments.md	Compose Attachments
52	current	548-554	861443909d496b69fbf15bc1d628a970e0080021747be438cbd86e2649b6def1	Companion/Memory/Current/052-swiftmail-types.md	SwiftMail Types
53	current	555-562	1ae2bc84741bee4ce3295581e4a427b3f24c9b5f277d4839d322cfdd6996216a	Companion/Memory/Current/053-outgoing-email-header-encoding-rfc-2047-mojibake-fix-2026-06-21.md	Outgoing email header encoding — RFC 2047 (mojibake fix, 2026-06-21)
54	current	563-581	b7a6afd2cf97dad384b65c919ee583ffbb9042e90e5ea0deb441b473bab4e30f	Companion/Memory/Current/054-hybrid-fts5-vector-search-local.md	Hybrid FTS5 + Vector Search (Local)
55	current	582-598	d77a6b3e4eae263593ba10a0057f9ec3334a9a9c5ad1050eb95fd949ebda6d12	Companion/Memory/Current/055-device-prompt-sync-ai-cache-probe.md	Device Prompt Sync & AI Cache Probe
56	current	599-605	77ac1baa0ff05a51bdd35a2fa5903b04c3fcd14b67a1710d29de07e5801941ce	Companion/Memory/Current/056-cross-instance-action-tag-sync-adr-ios-036-supersedes-adr-ios-004-first.md	Cross-Instance Action Tag Sync (ADR-IOS-036, supersedes ADR-IOS-004 "First Compute Wins")
57	current	606-619	981f763c589bcb5bf26074e722fb5f6234299fe7cbf3ad1132a8b5992541e99e	Companion/Memory/Current/057-ai-summary-action-pipeline.md	AI Summary & Action Pipeline
58	current	620-627	7191ead1dbd2bd5b62b7c55040e96f00840b4741c104f1ac076c2f3093c0c068	Companion/Memory/Current/058-background-ai-processing-tier-3.md	Background AI Processing (Tier 3)
59	current	628-640	58f64c8b2da2608edccc0438ef6fca7ca2f87ae5a1d4d71dbcd6ddcf9f1075f3	Companion/Memory/Current/059-swift-6-bgtask-isolation-pattern-adr-ios-020-critical.md	Swift 6 BGTask Isolation Pattern (ADR-IOS-020) — CRITICAL
60	current	641-649	95ce9ee8c6345318d2691dc00eb1e73bc44fd5d43575430568ac7562bd8e4833	Companion/Memory/Current/060-sse-streaming-tool-execution-loop.md	SSE Streaming & Tool Execution Loop
61	current	650-656	d94f44a275534f68b85dfdd39b72f17d963effd867402a6ea510e4d1c8bf2659	Companion/Memory/Current/061-thread-threadgroup-actions-tag-tap-dispatch-grouped-undo.md	Thread (ThreadGroup) Actions — tag-tap dispatch & grouped undo
62	current	657-665	03f5db2f0a98e60326c63fdc4838a8961a160a59017c582f33d380fcd8c4aa63	Companion/Memory/Current/062-manual-tag-teaching-long-press-context-menu.md	Manual Tag Teaching (Long-Press Context Menu)
63	current	666-671	550910b3f16f3f0de9cee48405e70595f98b80f95704792358192231db95d778	Companion/Memory/Current/063-tool-registry-scaffold.md	Tool Registry (Scaffold)
64	current	672-713	3fb3d758ebbddf84e064794d784813a8219b760f6cb403562365687bcabe6cc0	Companion/Memory/Current/064-agent-chat-adr-ios-022-adr-ios-023.md	Agent Chat (ADR-IOS-022, ADR-IOS-023)
65	current	714-718	6e8e3bd8a6f034d9bd9c7e9e0fa4174b03c85b2330838e6f290f3d7551d2dffa	Companion/Memory/Current/065-screen-keep-awake-chat-pill.md	Screen Keep-Awake (chat pill)
66	current	719-730	c6a98303b1b62875ffe2f9cfd6dc5c0e80fac730f297ce7505755e9f5e55163b	Companion/Memory/Current/066-agent-compose-fifo-queue-adr-ios-030.md	Agent Compose FIFO Queue (ADR-IOS-030)
67	current	731-739	2be0cc8174885de312ac80e156ddf563ee21f550de76d925635a5ce1ccef3b01	Companion/Memory/Current/067-outgoing-threading-reply-forward-stay-in-thread-on-every-provider-adr-io.md	Outgoing Threading — reply/forward stay in-thread on every provider (ADR-IOS-043, 2026-06-23)
68	current	740-743	a6ce336ed06ab6ff8b4d223150b3b8641368f2d89b3994c196023292b4664630	Companion/Memory/Current/068-incoming-thread-detection-threaddetection-findrelatedmessages-has-no-sub.md	Incoming Thread Detection — `ThreadDetection.findRelatedMessages` has NO subject-based fallback (by design)
69	current	744-762	ebd79e81576cd89aacd85fa6919d68a10d37b4651ce2e8bcdf29db51728f9ae3	Companion/Memory/Current/069-outbox-persistent-offline-send-queue-adr-ios-019.md	Outbox — Persistent Offline Send Queue (ADR-IOS-019)
70	current	763-780	95b69e29f77b7baf8e7e9c5803de98ea03c666d5c324e6f8f9d96791234a45d5	Companion/Memory/Current/070-proactive-local-notifications-adr-ios-026.md	Proactive Local Notifications (ADR-IOS-026)
71	current	781-795	64514b23fee44c25bb0fe6bca23b214ad94884d8ae03e3870f8c279b4d85a9e2	Companion/Memory/Current/071-app-icon-badge-routine-nse-counter-main-app-recount.md	App Icon Badge Routine (NSE counter + main-app recount)
72	current	796-818	9e810eb7321d34e2283b8162b2c6673a7044eb9251dfd1437c538e793d051ff6	Companion/Memory/Current/072-persistent-nse-log-file-watchdog-partial-result-delivery-2026-07-09.md	Persistent NSE log file + watchdog partial-result delivery (2026-07-09)
73	current	819-828	11b21c063dcab7ffb499d7973dd8cf2cc680b86565f97265dd68c97f7a08a4ca	Companion/Memory/Current/073-sync-status-subtitle-updated-n-min-ago.md	Sync-status subtitle ("Updated N min ago")
74	current	829-842	18886d1bc6227cdfa97e8b5b154cb528b3b4417f6a8892a4b8e8a320763bd33a	Companion/Memory/Current/074-stuck-isloading-rule-async-view-loads-must-defer-clear-their-spinner-fla.md	Stuck-`isLoading` rule: async view loads must defer-clear their spinner flag — and `.task` must NOT hang on the conditional it flips
75	current	843-856	8da5423b4ef111ea41d19137360df4ad61edac1d7c471bd7d1205e71ddf67caf	Companion/Memory/Current/075-cron-reminders-scheduleditem-architecture.md	Cron Reminders (ScheduledItem Architecture)
76	current	857-867	29e731c1aa15d03db01334b48690907616702d5c091cd197359a48a675f59709	Companion/Memory/Current/076-banner-flash-prevention-mailnavigationview.md	Banner Flash Prevention (MailNavigationView)
77	current	868-880	9ca17fd99928ac5333e29c076226962eb5080cde86313a3120edaf5183af7ba1	Companion/Memory/Current/077-test-isolation-for-userdefaults-backed-state.md	Test Isolation for `UserDefaults`-Backed State
78	current	881-906	845c1dae64e908737efa3452593384eee74ec3d3f626226cd8fdb2604be21a0e	Companion/Memory/Current/078-delivered-notification-cleanup.md	Delivered-Notification Cleanup
79	current	907-917	3db364084cf7da85e2196f1389c1032d757df4d7fa72ed831f7191b74d6ef320	Companion/Memory/Current/079-startup-data-migrations-startupmigrations-swift.md	Startup Data Migrations (`StartupMigrations.swift`)
80	current	918-925	3a6c2d8c7d7a4549209e5cb80a29321264a0e67670130a5b81d03fab5000a478	Companion/Memory/Current/080-texteditor-textfield-caret-jump-never-save-per-keystroke-2026-07-02.md	TextEditor/TextField Caret Jump — Never Save Per Keystroke (2026-07-02)
81	current	926-932	0f9abc05cb777eef39a456edf45dfb94c126d32121a571873087b1f720f91432	Companion/Memory/Current/081-migration-splash-ios-indeterminate-linear-progressview-pitfall-2026-07-0.md	Migration Splash / iOS Indeterminate Linear ProgressView Pitfall (2026-07-01)
82	current	933-942	97f9d53747cd1b2db533d593df45325a5ee698bb2926cbd1fca0c6d6ee3679bf	Companion/Memory/Current/082-zero-byok-plan-iap-surface-adr-ios-040.md	Zero (BYOK) Plan — IAP Surface (ADR-IOS-040)
83	current	943-951	a53b58f7e5dcf3da641b8d35f33ffd79de4e6a26901d0b5d456a92f308a33f13	Companion/Memory/Current/083-byok-model-picker-two-section-query-all-adr-026-2026-07-08.md	BYOK Model Picker — Two-Section Query-All (ADR-026, 2026-07-08)
84	current	952-960	343f07fb7c4adb10fa6d0f8b53a27115732ff44c8db463dae5fcad50868d2a01	Companion/Memory/Current/084-html-document-guard-for-text-plain-extraction-2026-06-11.md	HTML-Document Guard for text/plain Extraction (2026-06-11)
85	current	961-974	4210bb1400b9e9df3dcd90be8332e7f6c54fd0f22bd7048d7f861b313dd2db66	Companion/Memory/Current/085-grdb-database-suspension-0xdead10cc-defense-adr-ios-041-2026-06-12.md	GRDB Database Suspension — 0xdead10cc Defense (ADR-IOS-041, 2026-06-12)
86	current	975-984	789f8568438f52523c9536ef192c9377757ddc3ec3e0777b87f7639765d9dad6	Companion/Memory/Current/086-dictation-leaves-avaudiosession-active-haptics-die-process-wide-2026-06.md	Dictation leaves AVAudioSession active → haptics die process-wide (2026-06-27)
87	current	985-994	3f3ed1483a2e1269548010ae36e6e2d2ba155b130b8f06d5b059e6dfb581b381	Companion/Memory/Current/087-fullscreencover-content-must-never-re-fetch-by-a-rekeyable-id-presented.md	fullScreenCover content must never re-fetch by a rekeyable id → presented-but-empty cover renders SOLID BLACK (2026-07-08)
88	current	995-1004	6126a1f05238c757a4d59e39d26df5381bf38c3cdd483525e4bbbabc9adb22d0	Companion/Memory/Current/088-inbox-gesture-actions-derive-intent-from-the-visualized-snapshot-never-a.md	Inbox gesture actions derive intent from the VISUALIZED snapshot, never a gesture-path DB read (dead-toggle fix, 2026-07-10)
89	current	1005-1035	18d40fdbba0fbdaa33e62ee3139040c7759e38b8c5b6b81ba35281c0c4b211f2	Companion/Memory/Current/089-action-queue-coalesces-gesture-intents-to-latest-per-field-adr-ios-057-2.md	Action queue coalesces gesture intents to latest-per-field (ADR-IOS-057, 2026-07-10) + overlay call-site audit closed
90	current	1036-1039	469ed09ab81c9cf22d410938651b5626d3e7289897cebd448c208ba5ac98ec3a	Companion/Memory/Current/090-knowledge-gaps.md	Knowledge Gaps
